! Tight binding model for BLG system, theta=0
   28  ! Number of non-zeros lines of HmnR
    8  ! Number of Wannier functions
    9  ! Number of R points
    1    1    1    1    1    1    1    1    1
   -1   -1    0       5       8    -2.700000     0.000000
   -1    0    0       3       4    -2.700000     0.000000
   -1    0    0       5       8    -2.700000     0.000000
    0   -1    0       1       3    -2.700000     0.000000
    0   -1    0       2       4    -2.700000     0.000000
    0   -1    0       6       7    -2.700000     0.000000
    0    0    0       1       2    -2.700000     0.000000
    0    0    0       1       3    -2.700000     0.000000
    0    0    0       1       6     0.330000     0.000000
    0    0    0       2       1    -2.700000     0.000000
    0    0    0       2       4    -2.700000     0.000000
    0    0    0       3       1    -2.700000     0.000000
    0    0    0       4       2    -2.700000     0.000000
    0    0    0       4       8     0.330000     0.000000
    0    0    0       5       6    -2.700000     0.000000
    0    0    0       6       1     0.330000     0.000000
    0    0    0       6       5    -2.700000     0.000000
    0    0    0       6       7    -2.700000     0.000000
    0    0    0       7       6    -2.700000     0.000000
    0    0    0       7       8    -2.700000     0.000000
    0    0    0       8       4     0.330000     0.000000
    0    0    0       8       7    -2.700000     0.000000
    0    1    0       3       1    -2.700000     0.000000
    0    1    0       4       2    -2.700000     0.000000
    0    1    0       7       6    -2.700000     0.000000
    1    0    0       4       3    -2.700000     0.000000
    1    0    0       8       5    -2.700000     0.000000
    1    1    0       8       5    -2.700000     0.000000
